City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Majene,ID,77.23,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
203,Oriximina,BR,75.96,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
218,Mount Isa,AU,83.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
219,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
239,Rosarito,MX,82.63,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
240,Alice Springs,AU,81.95,few clouds,-23.7,133.8833,Desert Palms Alice Springs
243,Comodoro Rivadavia,AR,84.06,broken clouds,-45.8667,-67.5,Austral Hotel
244,Punta Alta,AR,81.68,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
245,Dhidhdhoo,MV,81.43,broken clouds,6.8833,73.1,Dhidhoo beach
250,Cabo San Lucas,MX,86.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
254,Boueni,YT,80.58,overcast clouds,-12.9025,45.0761,The feet in water
257,Balikpapan,ID,76.19,moderate rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
262,Kalmunai,LK,76.35,overcast clouds,7.4167,81.8167,VS Villa
263,Mackay,AU,77.68,broken clouds,-21.15,149.2,International Lodge Motel
264,Papar,MY,75.2,overcast clouds,5.7333,115.9333,Koposizon Homestay
268,Port Hedland,AU,84.25,few clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
271,Kavieng,PG,84.34,light rain,-2.5744,150.7967,Nusa Island Retreat
273,La Plata,AR,84.11,clear sky,-34.9215,-57.9545,Hotel Corregidor
277,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
278,Currais Novos,BR,77.49,scattered clouds,-6.2608,-36.5178,Sâmily Flat Hotel
285,Thinadhoo,MV,81.41,overcast clouds,0.5333,72.9333,
296,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
297,Beyla,GN,80.92,broken clouds,8.6833,-8.6333,DIAN SINKO
298,Saint-Pierre,RE,80.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
300,Nieuw Amsterdam,SR,75.22,broken clouds,5.8833,-55.0833,Hotel Stardust
302,Portobelo,PA,86.41,scattered clouds,9.55,-79.65,Scuba Portobelo
304,Poum,NC,82.4,broken clouds,-20.2333,164.0167,
307,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
309,Kavaratti,IN,80.1,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
312,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
314,Ciudad Bolivar,VE,82.99,overcast clouds,8.1222,-63.5497,Hotel Edi
315,Sinnamary,GF,76.87,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
320,Manga,BF,79.48,clear sky,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
324,San Luis,AR,79.81,clear sky,-33.295,-66.3356,Huarpes Hotel
326,San Clemente,US,85.26,few clouds,33.427,-117.612,Casablanca Inn
330,Sao Borja,BR,78.94,clear sky,-28.6606,-56.0044,Hotel Executivo
337,Tambura,SS,75.7,broken clouds,5.6,27.4667,Rikito Lodge
342,Waingapu,ID,79.7,clear sky,-9.6567,120.2641,Pondok Wisata Elim
345,Santiago,CL,83.64,clear sky,-33.4569,-70.6483,Hotel Panamericano
350,Pecos,US,75.29,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
355,Bonthe,SL,78.44,clear sky,7.5264,-12.505,Bonthe Holiday Village
357,Bongaree,AU,76.21,overcast clouds,-27.0797,153.1586,The Gums Anchorage
360,San Jorge,AR,84.0,clear sky,-31.8962,-61.8598,INDIGO Hostel
367,Villarrica,PY,81.34,scattered clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
370,Tual,ID,83.21,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
372,Kupang,ID,78.69,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
378,Mabay,PH,78.87,broken clouds,6.0577,124.4666,Bautista Lodging House
379,Beira,MZ,82.49,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
390,Puerto Baquerizo Moreno,EC,79.79,broken clouds,-0.9,-89.6,Hotel los Algarrobos
396,Quelimane,MZ,78.75,light intensity drizzle,-17.8786,36.8883,Hotel Flamingo
400,Guerrero Negro,MX,76.42,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
406,Padang,ID,75.78,overcast clouds,-0.9492,100.3543,Mercure Padang
407,Bac Lieu,VN,78.91,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
410,Labuhan,ID,75.69,overcast clouds,-6.8844,112.2051,DoubleFAG
411,Kieta,PG,84.13,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
419,Lorengau,PG,82.83,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
426,Conceicao Das Alagoas,BR,83.98,clear sky,-19.9147,-48.3883,Bouganville Hotel
