City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Igarka,RU,67.4667,86.5833,-14.75,92,14,4.99,few clouds
190,Kerema,PG,-7.9631,145.7785,81.36,76,73,1.41,broken clouds
191,Port Alfred,ZA,-33.5906,26.891,69.94,84,78,24.54,broken clouds
192,Rimini,IT,44.0241,12.5186,51.17,85,40,4.61,scattered clouds
193,Vardo,NO,70.3705,31.1107,28.6,86,100,45.86,snow
194,Minot,US,48.2325,-101.2963,11.39,78,100,9.22,overcast clouds
195,Cidreira,BR,-30.1811,-50.2056,71.08,70,0,9.01,clear sky
196,San-Pedro,CI,4.7485,-6.6363,77.43,90,86,6.02,overcast clouds
197,Benguela,AO,-12.5763,13.4055,77.81,76,100,3.87,overcast clouds
198,Havelock,US,34.8791,-76.9013,48.18,67,5,3,clear sky
199,Majene,ID,-3.5403,118.9707,77.23,86,92,4.68,overcast clouds
200,Hanna,CA,51.6334,-111.9018,35.11,86,100,11.99,overcast clouds
201,Grand-Santi,GF,4.25,-54.3833,72.77,98,92,2.68,overcast clouds
202,Bereda,ES,43.2686,-7.5406,45.91,100,34,2.06,scattered clouds
203,Oriximina,BR,-1.7656,-55.8661,75.96,91,98,2.59,overcast clouds
204,Dumai,ID,1.6833,101.45,73.22,99,46,3.02,scattered clouds
205,Waipawa,NZ,-41.4122,175.5153,62.92,65,74,2.44,broken clouds
206,Saint Anthony,US,45.0205,-93.218,17.87,58,0,4.61,clear sky
207,Kushiro,JP,42.975,144.3747,16.75,73,20,3.44,few clouds
208,Mitzic,GA,0.7821,11.549,69.94,90,74,3.22,broken clouds
209,Evansville,US,37.9748,-87.5558,39.27,42,0,3.44,clear sky
210,College,US,64.8569,-147.8028,5.79,78,75,4.61,broken clouds
211,Paralimni,CY,35.0375,33.9833,55.42,80,49,1.01,scattered clouds
212,Marzuq,YE,14.4,46.4667,57.76,39,1,3.8,clear sky
213,Cookeville,US,36.1628,-85.5016,47.91,34,0,0,clear sky
214,Husavik,IS,66.0449,-17.3389,28.96,76,85,23.15,overcast clouds
215,Lukovetskiy,RU,64.2956,41.9211,26.58,99,100,4.9,snow
